Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BRK,1,240,44,97,.454,15,37,.405,19,29,.655,11,37,48,30,11,7,12,17,122
PHI,0,240,41,87,.471,9,26,.346,18,20,.900,4,43,47,23,6,6,20,25,109
