Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAC,1,240,42,88,.477,13,30,.433,31,36,.861,12,35,47,31,8,5,10,21,128
CLE,0,240,43,93,.462,7,25,.280,18,25,.720,11,29,40,25,4,4,15,27,111
