Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
TOR,1,240,42,88,.477,10,39,.256,9,13,.692,6,36,42,16,7,4,13,19,103
ATL,0,240,40,84,.476,13,30,.433,15,22,.682,8,31,39,21,7,2,13,16,108
