Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
GSW,0,240,47,88,.534,17,44,.386,12,14,.857,5,33,38,31,9,8,14,28,123
NOP,1,240,39,90,.433,5,25,.200,25,32,.781,13,34,47,20,6,4,16,8,108
