Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
GSW,1,240,50,89,.562,16,31,.516,15,18,.833,5,35,40,33,12,2,13,26,131
UTA,0,240,41,93,.441,15,44,.341,22,29,.759,18,33,51,24,6,6,14,16,119
