Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CLE,1,240,39,86,.453,6,28,.214,15,21,.714,8,32,40,21,4,1,13,19,99
MIL,0,240,47,86,.547,16,34,.471,14,23,.609,6,37,43,25,10,2,8,20,124
