Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,34:37,5,15,.333,1,4,.250,4,6,.667,0,3,3,3,0,1,2,1,15,-18
Théo Maledon,30:44,5,10,.500,1,5,.200,0,0,,0,3,3,1,1,0,3,2,11,+3
Al Horford,29:07,5,12,.417,0,3,.000,0,0,,2,2,4,1,0,2,1,4,10,-20
Darius Bazley,28:01,3,11,.273,2,8,.250,3,6,.500,1,9,10,0,0,0,1,0,11,-7
Luguentz Dort,24:31,1,9,.111,1,5,.200,2,2,1.000,1,4,5,2,0,0,3,4,5,-12
Ty Jerome,28:35,5,7,.714,3,4,.750,0,0,,1,2,3,2,1,0,0,5,13,-3
Isaiah Roby,21:38,2,9,.222,0,3,.000,1,2,.500,2,6,8,1,3,1,2,2,5,+5
Kenrich Williams,21:17,3,7,.429,1,2,.500,1,1,1.000,1,3,4,1,1,0,1,1,8,0
Mike Muscala,14:13,0,3,.000,0,3,.000,0,0,,0,3,3,1,0,0,0,1,0,+3
Justin Jackson,7:17,0,4,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,0,0,+4
