Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIN,240,.540,.506,.511,.239,13.0,79.5,43.5,75.0,6.0,14.9,10.2,100.0,104.9,123.8
LAC,240,.643,.624,.472,.191,20.5,87.0,56.5,68.9,6.0,7.0,12.7,100.0,123.8,104.9
