Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ORL,0,240,27,86,.314,6,26,.231,15,20,.750,12,44,56,16,4,6,20,19,75
MEM,1,240,34,99,.343,11,39,.282,13,16,.813,15,42,57,25,10,8,8,15,92
