Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jarrett Allen,41:51,11,11,1.000,0,0,,4,7,.571,9,8,17,2,0,3,3,2,26,-2
Collin Sexton,40:17,11,22,.500,1,6,.167,4,5,.800,0,5,5,3,0,0,4,4,27,-2
Isaac Okoro,39:19,4,12,.333,4,11,.364,0,0,,2,3,5,1,3,0,1,4,12,-11
Darius Garland,38:22,7,14,.500,2,5,.400,5,6,.833,1,2,3,8,3,0,2,2,21,-6
Cedi Osman,33:33,3,12,.250,0,8,.000,0,0,,1,5,6,4,3,0,1,2,6,-4
Dylan Windler,17:01,1,6,.167,1,3,.333,0,0,,0,2,2,1,0,0,0,0,3,-14
Damyean Dotson,15:10,0,4,.000,0,2,.000,0,0,,0,0,0,3,0,1,1,1,0,-17
Lamar Stevens,8:18,0,0,,0,0,,2,2,1.000,1,1,2,0,0,0,2,2,2,-10
JaVale McGee,6:09,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,1,0,4,-14
