Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,0,240,46,95,.484,16,43,.372,12,17,.706,14,37,51,25,8,1,8,16,120
ATL,1,240,39,86,.453,14,34,.412,17,19,.895,8,31,39,23,5,4,11,15,109
