Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
LaMarcus Aldridge,36:43,.466,.452,.143,.048,5.0,20.3,12.1,21.6,1.4,0.0,8.5,27.8,93,100,0.9
Dejounte Murray,35:56,.367,.367,.200,.000,2.6,8.9,5.5,22.8,0.0,0.0,0.0,18.2,89,106,-5.8
Trey Lyles,35:00,.512,.500,.250,.500,7.9,21.3,14.1,8.2,0.0,0.0,0.0,6.1,131,103,-2.8
Keldon Johnson,33:44,.218,.167,.333,.333,0.0,22.1,10.3,4.1,1.5,7.8,22.5,11.5,40,93,-9.4
Lonnie Walker,30:22,.578,.553,.368,.316,0.0,10.5,4.9,29.0,1.6,2.9,8.5,33.9,108,100,11.4
Patty Mills,29:21,.463,.447,.684,.053,0.0,7.3,3.4,26.6,0.0,0.0,9.3,31.8,89,106,-1.6
Rudy Gay,17:50,.333,.333,.167,.000,15.5,23.9,19.4,8.8,0.0,4.9,25.0,19.5,70,98,-8.5
Jakob Poeltl,11:17,.347,.500,.000,1.000,0.0,9.5,4.4,0.0,0.0,0.0,0.0,11.1,65,106,-13.0
Devin Vassell,9:47,.000,.000,.000,.000,0.0,21.8,10.1,0.0,5.1,0.0,0.0,8.9,0,91,-8.9
