Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIN,0,240,38,103,.369,6,35,.171,9,14,.643,17,31,48,24,11,6,17,24,91
LAL,1,240,50,90,.556,13,35,.371,14,18,.778,5,41,46,32,6,14,17,19,127
