Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,1,240,43,89,.483,20,39,.513,13,15,.867,10,35,45,29,3,6,18,21,119
POR,0,240,44,85,.518,19,38,.500,22,26,.846,3,33,36,27,8,5,9,18,129
