Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
UTA,0,240,49,97,.505,25,53,.472,8,13,.615,10,40,50,31,6,8,10,18,131
MIL,1,240,44,98,.449,13,42,.310,17,21,.810,9,36,45,18,5,5,12,19,118
