Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zach LaVine,38:17,6,15,.400,3,7,.429,8,9,.889,2,3,5,6,4,0,3,2,23,+11
Coby White,36:57,6,14,.429,2,5,.400,4,4,1.000,0,5,5,6,0,0,2,0,18,+10
Wendell Carter,34:11,5,8,.625,0,1,.000,0,2,.000,0,12,12,3,0,0,2,5,10,+14
Patrick Williams,20:21,5,10,.500,2,3,.667,0,0,,1,0,1,2,0,0,1,3,12,+1
Lauri Markkanen,19:15,3,8,.375,1,2,.500,2,3,.667,1,3,4,0,0,0,1,2,9,-2
Otto Porter,29:21,4,10,.400,3,7,.429,5,6,.833,1,2,3,1,0,0,2,4,16,-3
Garrett Temple,28:36,4,10,.400,2,6,.333,2,4,.500,0,1,1,2,1,0,0,3,12,+14
Tomáš Satoranský,20:06,4,7,.571,2,4,.500,0,0,,0,2,2,6,2,0,2,0,10,-2
Daniel Gafford,6:31,0,1,.000,0,0,,3,4,.750,0,1,1,0,0,1,0,3,3,-1
Chandler Hutchison,6:25,1,4,.250,0,1,.000,0,0,,0,3,3,0,0,0,1,1,2,-2
