Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
UTA,240,.559,.517,.547,.233,23.9,72.7,50.5,66.7,6.4,16.9,11.2,100.0,112.3,101.7
OKC,240,.476,.462,.366,.194,27.3,76.1,49.5,36.1,8.5,2.6,10.6,100.0,101.7,112.3
