Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
IND,240,.485,.473,.413,.120,21.3,78.6,48.3,72.2,4.4,11.1,7.6,100.0,102.4,113.3
BRK,240,.569,.480,.408,.461,21.4,78.7,51.7,62.5,2.2,9.3,11.6,100.0,113.3,102.4
