Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIA,240,.569,.538,.438,.250,2.6,76.9,45.1,70.3,11.4,11.1,9.2,100.0,105.0,93.6
CHI,240,.473,.451,.413,.076,23.1,97.4,54.9,73.5,5.2,6.7,14.4,100.0,93.6,105.0
