Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,0,240,45,90,.500,12,33,.364,13,15,.867,15,30,45,28,11,7,17,12,115
PHI,1,240,43,103,.417,11,35,.314,6,10,.600,20,28,48,23,8,4,16,19,103
