Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,1,240,45,92,.489,14,38,.368,16,18,.889,6,43,49,24,5,3,11,11,120
SAS,0,240,46,96,.479,12,33,.364,9,10,.900,5,36,41,29,6,4,9,11,113
