Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,0,240,48,92,.522,17,38,.447,15,18,.833,10,32,42,23,7,7,11,26,128
WAS,1,240,44,86,.512,15,33,.455,27,34,.794,9,36,45,31,7,3,12,20,130
