Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
OKC,240,.537,.494,.388,.318,15.2,72.2,46.0,62.2,6.1,6.1,10.2,100.0,106.3,117.5
POR,240,.556,.542,.490,.177,27.8,84.8,54.0,61.9,6.1,15.4,8.8,100.0,117.5,106.3
