Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAC,240,.573,.538,.467,.207,20.0,85.2,44.4,54.8,11.8,3.6,10.7,100.0,112.8,132.4
NOP,240,.748,.728,.321,.259,14.8,80.0,55.6,71.7,7.8,2.0,16.6,100.0,132.4,112.8
