Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nikola Jokić,38:29,7,13,.538,1,4,.250,9,11,.818,3,6,9,10,1,0,5,2,24,-20
Jamal Murray,37:16,9,20,.450,4,11,.364,1,2,.500,2,3,5,3,1,0,3,4,23,-3
Michael Porter,23:20,4,9,.444,2,6,.333,0,0,,0,3,3,2,2,0,0,2,10,-14
Gary Harris,22:24,1,5,.200,0,2,.000,0,0,,0,1,1,2,1,0,2,2,2,-12
Paul Millsap,21:53,3,5,.600,1,2,.500,1,2,.500,0,1,1,0,0,0,0,4,8,-10
Monte Morris,30:21,3,7,.429,1,3,.333,6,7,.857,1,0,1,4,1,0,0,0,13,-5
Will Barton,28:33,4,10,.400,1,4,.250,6,9,.667,1,4,5,3,1,0,1,3,15,0
PJ Dozier,19:07,3,5,.600,1,2,.500,0,0,,1,1,2,0,0,0,1,2,7,+1
Isaiah Hartenstein,9:31,3,5,.600,0,0,,0,0,,2,3,5,1,0,1,0,1,6,+7
Bol Bol,5:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
Facundo Campazzo,3:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-7
Markus Howard,0:26,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
