Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIA,1,240,44,87,.506,13,32,.406,20,27,.741,8,29,37,27,9,2,14,22,121
MIN,0,240,41,85,.482,10,37,.270,20,30,.667,9,32,41,27,7,4,16,24,112
