Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
PHO,240,.648,.597,.377,.325,14.7,85.7,50.7,78.9,5.4,14.6,12.9,100.0,122.8,112.0
LAL,240,.601,.576,.392,.215,14.3,85.3,49.3,45.0,6.5,16.7,12.2,100.0,112.0,122.8
