Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,26:18,6,12,.500,0,3,.000,4,4,1.000,0,2,2,12,1,0,1,3,16,-1
Bogdan Bogdanović,23:55,6,11,.545,4,6,.667,0,0,,0,1,1,6,2,2,2,1,16,-5
Clint Capela,23:35,8,11,.727,0,0,,2,2,1.000,5,5,10,0,0,2,1,2,18,-4
John Collins,23:04,3,4,.750,1,2,.500,2,2,1.000,0,4,4,0,1,0,2,2,9,+3
Tony Snell,17:59,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,2,2,+3
Kevin Huerter,25:28,5,8,.625,3,5,.600,0,0,,0,2,2,2,0,0,0,1,13,+35
Danilo Gallinari,23:52,7,9,.778,1,2,.500,1,2,.500,0,5,5,4,1,0,1,0,16,+30
Solomon Hill,20:24,1,2,.500,1,2,.500,0,0,,0,5,5,1,0,0,1,3,3,+28
Lou Williams,19:23,6,11,.545,2,4,.500,2,2,1.000,0,4,4,5,0,0,1,0,16,+33
Onyeka Okongwu,18:27,6,7,.857,0,0,,2,2,1.000,4,3,7,2,3,1,1,3,14,+33
Nathan Knight,3:31,1,3,.333,0,1,.000,2,2,1.000,0,1,1,0,0,1,0,0,4,+1
Brandon Goodwin,3:31,1,1,1.000,0,0,,1,2,.500,0,1,1,3,0,0,0,1,3,+1
Skylar Mays,3:31,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,+1
Bruno Fernando,3:31,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,+1
Kris Dunn,3:31,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,+1
