Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAS,0,240,38,89,.427,11,36,.306,8,8,1.000,4,43,47,26,5,10,15,23,95
NOP,1,240,36,94,.383,5,24,.208,21,29,.724,13,43,56,15,11,4,8,16,98
