Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
PHI,240,.481,.446,.391,.141,17.0,74.5,46.3,54.1,2.0,21.8,8.4,100.0,95.4,113.6
ATL,240,.505,.460,.444,.273,25.5,83.0,53.7,54.1,7.1,5.4,6.7,100.0,113.6,95.4
