Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIN,0,240,51,90,.567,18,43,.419,14,19,.737,12,38,50,34,5,9,18,16,134
SAC,1,240,44,97,.454,18,42,.429,14,16,.875,13,26,39,28,10,3,10,17,120
