Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
ORL,240,.464,.416,.371,.202,23.1,80.4,50.0,62.5,6.0,3.5,14.9,100.0,90.7,116.9
LAC,240,.587,.559,.394,.117,19.6,76.9,50.0,54.3,8.1,8.9,10.0,100.0,116.9,90.7
