Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CLE,0,240,31,81,.383,8,30,.267,12,23,.522,14,20,34,19,4,5,13,18,82
ATL,1,240,32,71,.451,12,29,.414,24,26,.923,12,37,49,21,4,6,15,21,100
