Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,34:39,.751,.719,.125,.375,3.5,7.5,5.4,24.1,2.9,0.0,5.1,26.7,147,131,6.6
Bam Adebayo,33:20,.587,.643,.000,.214,7.2,31.1,18.7,46.4,4.6,0.0,0.0,21.6,141,123,10.7
Victor Oladipo,33:11,.494,.464,.286,.357,3.6,19.5,11.3,8.2,0.0,0.0,15.6,27.2,88,136,-15.9
Trevor Ariza,26:18,.170,.000,.400,.400,4.6,9.9,7.1,16.6,1.9,0.0,14.5,12.3,76,133,-13.1
Duncan Robinson,25:55,.875,.875,.875,.000,0.0,20.0,9.6,0.0,0.0,4.3,11.1,16.4,126,133,-0.3
Tyler Herro,27:16,.873,.900,.700,.200,0.0,9.5,4.6,22.2,0.0,4.1,26.9,25.7,114,135,2.8
Goran Dragić,22:05,.563,.563,.875,.000,5.4,11.7,8.5,17.4,2.3,0.0,20.0,21.3,100,132,-4.5
Andre Iguodala,18:55,.000,.000,1.000,.000,0.0,6.9,3.3,17.3,2.7,11.8,0.0,2.5,119,125,1.4
Nemanja Bjelica,13:30,.400,.400,.600,.000,8.9,9.6,9.2,9.6,3.8,0.0,0.0,17.4,101,128,-11.2
Precious Achiuwa,1:37,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,200,140,12.9
Gabe Vincent,1:37,,,,,0.0,80.2,38.6,100.0,0.0,0.0,,0.0,230,122,22.3
Max Strus,1:37,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,140,-12.8
