Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeMar DeRozan,34:49,13,25,.520,0,1,.000,7,8,.875,1,4,5,8,0,0,2,1,33,-5
Jakob Poeltl,34:34,5,6,.833,0,0,,2,3,.667,4,4,8,2,0,4,1,3,12,+13
Dejounte Murray,33:28,11,17,.647,2,4,.500,1,1,1.000,0,5,5,5,4,0,1,2,25,+18
Derrick White,32:51,3,8,.375,1,3,.333,2,2,1.000,1,3,4,1,2,2,0,4,9,-3
Keldon Johnson,28:14,3,7,.429,1,4,.250,2,4,.500,1,5,6,0,0,0,1,3,9,+4
Rudy Gay,22:22,2,5,.400,0,1,.000,3,4,.750,0,3,3,0,2,0,4,0,7,-5
Patty Mills,22:12,2,5,.400,2,5,.400,0,0,,0,4,4,4,2,0,1,2,6,0
Lonnie Walker,19:47,5,8,.625,2,3,.667,1,1,1.000,1,2,3,0,0,1,1,2,13,0
Drew Eubanks,11:43,1,2,.500,0,0,,3,4,.750,2,1,3,0,0,0,3,3,5,-12
