Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAL,1,240,41,87,.471,10,27,.370,15,18,.833,6,35,41,20,6,5,14,14,107
POR,0,240,43,92,.467,16,46,.348,13,15,.867,7,38,45,27,9,6,9,16,115
