Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
TOR,1,240,44,88,.500,12,33,.364,16,18,.889,9,37,46,23,9,6,14,23,116
DAL,0,240,31,82,.378,9,36,.250,22,27,.815,8,30,38,21,6,4,16,16,93
