Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,1,240,44,88,.500,20,31,.645,15,22,.682,10,32,42,24,7,6,11,23,123
NOP,0,240,37,91,.407,12,38,.316,21,28,.750,16,33,49,24,7,7,14,15,107
