Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
TOR,240,.534,.472,.411,.422,15.4,70.7,39.8,55.6,12.4,7.3,8.6,100.0,108.9,120.3
BOS,240,.637,.577,.345,.405,29.3,84.6,60.2,46.3,2.9,17.0,16.1,100.0,120.3,108.9
