Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
OKC,1,240,37,89,.416,18,44,.409,10,11,.909,10,42,52,21,6,4,17,14,102
SAS,0,240,40,86,.465,9,25,.360,10,15,.667,6,38,44,20,10,4,12,13,99
