Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Maxi Kleber,36:52,3,11,.273,2,9,.222,0,0,,1,7,8,1,0,1,0,0,8,-2
Luka Dončić,34:16,10,20,.500,3,10,.300,6,9,.667,0,5,5,9,2,1,3,4,29,-4
Kristaps Porziņģis,32:24,7,13,.538,2,5,.400,5,5,1.000,1,5,6,1,0,0,1,4,21,+4
Dorian Finney-Smith,29:10,3,8,.375,1,4,.250,0,0,,2,4,6,1,1,1,0,3,7,+14
Josh Richardson,26:47,3,9,.333,1,3,.333,2,2,1.000,0,3,3,3,0,0,1,0,9,+6
Jalen Brunson,27:56,4,5,.800,0,0,,0,0,,1,7,8,9,0,0,1,1,8,-1
Tim Hardaway,22:21,5,11,.455,1,5,.200,0,1,.000,1,0,1,0,0,0,0,2,11,-11
Dwight Powell,15:24,6,7,.857,0,0,,0,0,,2,6,8,0,1,0,1,3,12,-3
J.J. Redick,14:50,3,4,.750,3,4,.750,0,0,,0,0,0,1,0,0,4,0,9,+2
