Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NYK,0,240,33,86,.384,13,35,.371,18,27,.667,6,36,42,18,6,10,15,24,97
DEN,1,240,37,97,.381,12,39,.308,27,33,.818,16,46,62,23,13,7,13,24,113
