Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
IND,240,.637,.612,.383,.234,26.2,69.8,50.5,56.0,9.2,8.6,14.8,100.0,121.0,113.7
HOU,240,.545,.510,.327,.212,30.2,73.8,49.5,45.8,11.0,10.3,11.7,100.0,113.7,121.0
