Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAL,1,265,44,95,.463,9,38,.237,22,29,.759,10,49,59,28,7,12,15,19,119
OKC,0,265,43,110,.391,12,38,.316,14,19,.737,15,40,55,23,6,4,12,23,112
