Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,1,240,39,81,.481,15,42,.357,19,21,.905,10,33,43,26,7,1,20,22,112
DEN,0,240,38,84,.452,9,34,.265,14,15,.933,11,27,38,25,12,3,17,18,99
