Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
BOS,265,.592,.552,.362,.343,32.7,81.4,54.7,63.3,6.3,10.3,9.7,100.0,128.6,125.9
SAS,265,.644,.592,.261,.413,18.6,67.3,45.3,59.2,5.4,1.5,9.2,100.0,125.9,128.6
