Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAC,1,240,44,84,.524,19,38,.500,19,26,.731,8,34,42,35,4,2,13,18,126
POR,0,240,44,90,.489,23,48,.479,21,27,.778,12,26,38,28,9,8,8,24,132
