Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,0,240,42,98,.429,10,30,.333,12,14,.857,13,26,39,15,10,4,10,14,106
SAS,1,240,46,82,.561,8,28,.286,10,16,.625,9,37,46,22,5,4,19,16,110
