Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAL,240,.512,.478,.337,.247,20.8,86.7,52.7,51.4,2.0,7.8,12.4,100.0,102.4,107.4
POR,240,.545,.489,.420,.239,13.3,79.2,47.3,59.5,6.1,3.4,7.6,100.0,107.4,102.4
