Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
POR,240,.587,.550,.322,.267,32.6,79.5,56.3,41.9,5.2,14.0,13.0,100.0,122.1,106.5
DET,240,.540,.500,.313,.337,20.5,67.4,43.7,67.6,9.3,9.8,10.3,100.0,106.5,122.1
