Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Buddy Hield,37:47,7,18,.389,5,15,.333,0,0,,0,3,3,5,0,1,2,3,19,-9
Harrison Barnes,37:04,8,14,.571,2,5,.400,6,6,1.000,2,6,8,1,1,1,1,2,24,-3
Richaun Holmes,35:58,10,13,.769,0,0,,2,2,1.000,4,9,13,2,2,1,1,5,22,-2
De'Aaron Fox,35:10,9,23,.391,1,7,.143,3,6,.500,2,3,5,6,4,1,2,2,22,-3
Marvin Bagley,25:54,1,9,.111,0,0,,2,2,1.000,4,4,8,1,0,1,3,0,4,-3
Tyrese Haliburton,26:43,4,9,.444,2,4,.500,1,2,.500,0,2,2,1,2,0,1,2,11,-4
Cory Joseph,22:36,3,6,.500,0,1,.000,3,3,1.000,0,1,1,5,2,0,1,4,9,0
Nemanja Bjelica,15:47,3,4,.750,1,1,1.000,1,3,.333,2,3,5,2,0,0,3,2,8,+10
Hassan Whiteside,3:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1
