Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,0,240,39,80,.488,12,32,.375,20,21,.952,8,36,44,26,2,4,10,23,110
LAC,1,240,36,83,.434,14,34,.412,18,24,.750,10,29,39,21,8,3,6,19,104
