Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,36:54,11,19,.579,2,4,.500,9,10,.900,0,3,3,8,0,1,2,2,33,+17
Luguentz Dort,36:29,5,16,.313,3,9,.333,2,3,.667,2,1,3,1,4,1,1,2,15,+20
Darius Bazley,30:21,3,10,.300,1,5,.200,4,7,.571,0,10,10,0,1,1,3,0,11,+9
Théo Maledon,29:21,2,6,.333,1,3,.333,2,2,1.000,0,7,7,5,0,0,1,2,7,-3
Isaiah Roby,28:00,4,7,.571,0,2,.000,4,4,1.000,3,3,6,2,2,0,2,3,12,+4
Kenrich Williams,25:25,4,6,.667,1,3,.333,0,0,,1,3,4,2,1,0,1,2,9,-11
Mike Muscala,22:39,7,13,.538,4,7,.571,0,0,,2,5,7,0,0,1,2,2,18,+6
Ty Jerome,19:20,0,4,.000,0,4,.000,0,0,,0,2,2,2,0,0,1,3,0,-2
Justin Jackson,11:31,1,4,.250,0,3,.000,0,0,,1,2,3,0,1,0,3,0,2,-15
