Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAL,0,240,38,87,.437,9,31,.290,9,11,.818,9,43,52,24,7,8,17,14,94
MEM,1,240,36,87,.414,10,26,.385,10,13,.769,5,33,38,24,14,4,13,14,92
