Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NOP,240,.636,.644,.525,.250,22.2,84.1,56.3,71.4,12.5,16.3,21.3,100.0,108.6,95.2
TOR,240,.525,.506,.517,.135,15.9,77.8,43.8,68.4,9.6,13.2,17.5,100.0,95.2,108.6
