Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
BRK,240,.557,.543,.301,.075,10.5,83.8,46.7,62.2,3.2,5.4,4.9,100.0,113.6,122.1
CHI,240,.630,.603,.282,.385,16.2,89.5,53.3,67.4,4.2,4.6,9.0,100.0,122.1,113.6
