Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden McDaniels,37:12,3,5,.600,1,3,.333,1,2,.500,2,5,7,2,2,0,3,4,8,+3
Karl-Anthony Towns,34:38,12,17,.706,2,6,.333,6,8,.750,3,9,12,6,0,1,4,4,32,+9
Anthony Edwards,33:52,11,21,.524,2,5,.400,3,5,.600,3,2,5,3,1,0,2,1,27,+5
Ricky Rubio,29:50,4,11,.364,1,3,.333,8,9,.889,0,5,5,7,3,0,0,1,17,+7
Jake Layman,16:29,4,6,.667,0,1,.000,1,1,1.000,0,2,2,1,0,0,0,1,9,-5
D'Angelo Russell,23:47,5,15,.333,2,7,.286,5,5,1.000,1,0,1,5,0,0,1,2,17,-3
Jordan McLaughlin,20:11,1,4,.250,0,0,,0,0,,0,0,0,3,1,0,0,1,2,-10
Jarrett Culver,18:18,3,5,.600,1,1,1.000,1,2,.500,2,1,3,2,0,1,1,2,8,-9
Naz Reid,15:15,5,7,.714,1,2,.500,5,6,.833,2,3,5,0,0,0,0,1,16,-9
Juan Hernangómez,10:28,0,0,,0,0,,1,2,.500,0,2,2,1,0,0,1,0,1,-8
