Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIN,0,240,43,94,.457,13,33,.394,9,11,.818,9,40,49,22,6,9,10,21,108
SAS,1,240,43,96,.448,7,26,.269,18,24,.750,7,38,45,28,5,6,7,13,111
