Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
PHO,0,240,56,94,.596,11,24,.458,8,10,.800,7,32,39,38,11,5,10,18,131,
SAS,1,240,40,85,.471,9,33,.273,17,21,.810,8,26,34,27,6,6,15,9,106,
