Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MEM,240,.511,.442,.337,.326,25.0,87.0,56.6,67.6,7.6,10.2,9.9,100.0,105.6,98.0
GSW,240,.491,.417,.456,.378,13.0,75.0,43.4,74.2,7.6,11.1,9.5,100.0,98.0,105.6
