Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Daniel Theis,40:11,4,10,.400,1,2,.500,2,2,1.000,3,5,8,3,2,0,1,3,11,-11
Coby White,28:48,8,19,.421,5,10,.500,2,2,1.000,1,1,2,5,0,0,3,1,23,-4
Thaddeus Young,27:43,6,13,.462,0,1,.000,1,2,.500,1,3,4,3,1,0,3,0,13,-16
Patrick Williams,27:40,2,8,.250,0,1,.000,1,2,.500,2,5,7,4,2,0,1,3,5,-26
Garrett Temple,27:30,3,6,.500,1,2,.500,0,0,,0,1,1,0,0,1,1,1,7,-30
Tomáš Satoranský,22:39,5,9,.556,0,4,.000,0,0,,1,3,4,6,0,1,3,1,10,-6
Lauri Markkanen,16:48,2,8,.250,1,6,.167,0,0,,2,2,4,0,0,0,2,1,5,-8
Denzel Valentine,16:33,3,7,.429,3,6,.500,2,2,1.000,0,2,2,4,0,0,1,1,11,+13
Al-Farouq Aminu,16:18,0,1,.000,0,1,.000,2,3,.667,1,4,5,0,1,0,0,2,2,+15
Javonte Green,11:13,3,4,.750,0,0,,1,1,1.000,1,2,3,0,1,0,0,1,7,+13
Ryan Arcidiacono,4:37,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,0
