Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
WAS,240,.488,.460,.370,.150,26.8,80.0,50.5,53.7,4.9,1.8,10.9,100.0,102.3,112.1
CHO,240,.580,.544,.378,.211,20.0,73.2,49.5,57.1,5.9,9.5,12.5,100.0,112.1,102.3
