Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Devin Booker,39:59,14,28,.500,3,10,.300,5,7,.714,1,5,6,4,1,3,5,4,36,22.7,-1
Kevin Durant,36:08,12,17,.706,4,6,.667,1,2,.500,0,8,8,6,1,0,3,2,29,25.3,+5
Grayson Allen,34:36,2,5,.400,0,2,.000,2,3,.667,0,4,4,2,0,0,0,2,6,4.7,+5
Bradley Beal,30:27,4,11,.364,1,4,.250,0,0,,0,5,5,6,2,0,1,0,9,9.6,-1
Jusuf Nurkić,19:20,3,9,.333,0,0,,0,2,.000,1,8,9,4,1,2,1,1,6,7.0,-2
Royce O'Neale,25:45,5,6,.833,2,3,.667,0,0,,0,5,5,2,0,1,1,0,12,12.4,-4
Eric Gordon,24:24,1,4,.250,0,3,.000,0,0,,0,2,2,0,0,0,1,1,2,-1.2,-9
Drew Eubanks,21:16,1,3,.333,0,0,,0,0,,3,3,6,4,0,0,2,4,2,2.5,+7
Bol Bol,8:05,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,0,0,1.3,-10
