Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
PHO,0,240,42,83,.506,10,28,.357,8,14,.571,5,42,47,28,5,7,15,14,102,
SAS,1,240,40,91,.440,8,31,.258,16,19,.842,5,35,40,23,10,1,7,15,104,
